date,close
2026-07-07,26.250000
2026-07-08,28.170000
2026-07-09,28.240000
2026-07-10,28.309999
2026-07-13,27.660000
2026-07-14,27.650000
2026-07-15,26.889999
2026-07-16,24.680000
2026-07-17,24.180000
2026-07-20,23.830000
2026-07-21,25.500000
2026-07-22,30.559999
2026-07-23,31.200001
2026-07-24,30.100000
2026-07-27,29.809999
2026-07-28,28.450001
2026-07-29,25.700001
2026-07-30,27.730000
2026-07-31,28.400000
2026-08-03,28.639999
2026-08-04,31.690001
2026-08-05,30.320000
2026-08-06,29.379999
2026-08-07,31.129999
2026-08-10,31.459999
2026-08-11,31.600000
2026-08-12,37.610001
2026-08-13,39.160000
2026-08-14,39.840000
2026-08-17,38.279999
2026-08-18,37.410000
2026-08-19,36.580002
2026-08-20,36.500000
2026-08-21,37.240002
2026-08-24,35.169998
2026-08-25,38.459999
2026-08-26,37.389999
2026-08-27,38.459999
2026-08-28,37.080002
2026-08-31,37.279999
2026-09-01,36.709999
2026-09-02,37.000000
2026-09-03,37.869999
