date,close
2026-07-06,143.759995
2026-07-07,141.600006
2026-07-08,140.490005
2026-07-09,144.220001
2026-07-10,140.639999
2026-07-13,131.539993
2026-07-14,127.940002
2026-07-15,132.490005
2026-07-16,124.209999
2026-07-17,126.410004
2026-07-20,121.379997
2026-07-21,127.050003
2026-07-22,125.839996
2026-07-23,120.040001
2026-07-24,114.989998
2026-07-27,119.900002
2026-07-28,119.959999
2026-07-29,117.739998
2026-07-30,127.559998
2026-07-31,129.869995
2026-08-03,141.850006
2026-08-04,145.740005
2026-08-05,144.389999
2026-08-06,143.470001
2026-08-07,147.020004
2026-08-10,151.050003
2026-08-11,145.479996
2026-08-12,153.279999
2026-08-13,156.220001
2026-08-14,150.520004
2026-08-17,146.649994
2026-08-18,142.789993
